timestamp,formatted_time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
81987500,01-01 16:46:27:500,-1,-42,-34,12,3,-2,-3,-1
81987558,01-01 16:46:27:558,4,43,-7,-7,2,0,0,3
81987596,01-01 16:46:27:596,-15,23,-23,-13,-1,-2,0,-2
81987656,01-01 16:46:27:656,-6,-16,47,6,1,0,1,-1
81987701,01-01 16:46:27:701,5,74,51,0,-1,2,-2,-3
81987761,01-01 16:46:27:761,-3,27,-6,0,3,0,1,0
81987798,01-01 16:46:27:798,-6,-3,-75,-9,-3,-1,0,0
81987858,01-01 16:46:27:858,-12,23,-49,-17,-4,-3,-3,-3
81987917,01-01 16:46:27:917,-11,1,4,-1,-7,-3,0,-2
81987956,01-01 16:46:27:956,5,37,13,-3,-1,0,-1,2
81988015,01-01 16:46:28:15,-7,-25,-12,-8,-2,-4,-3,-3
81988061,01-01 16:46:28:61,-3,15,71,5,-4,0,-1,-3
81988120,01-01 16:46:28:120,6,34,56,6,12,0,0,-1
81988158,01-01 16:46:28:158,2,2,49,-8,-11,-2,-4,1
81988218,01-01 16:46:28:218,4,22,34,19,17,4,3,2
81988256,01-01 16:46:28:256,-3,-51,-14,7,3,5,2,-2
81988324,01-01 16:46:28:324,4,16,18,3,7,1,-3,-1
81988375,01-01 16:46:28:375,3,-35,17,-7,-6,3,4,1
81988421,01-01 16:46:28:421,-6,-17,-30,1,-3,-2,1,0
81988458,01-01 16:46:28:458,-5,-59,64,-10,-11,-4,0,-3
81988526,01-01 16:46:28:526,2,20,0,-2,-7,-3,-1,0
81988562,01-01 16:46:28:562,-1,-10,0,-1,-16,-2,-2,-3
81988623,01-01 16:46:28:623,-8,-57,10,-11,-14,-10,-4,-5
81988682,01-01 16:46:28:682,-6,9,-8,1,0,-2,-1,-1
81988721,01-01 16:46:28:721,5,4,22,8,-10,-11,0,0
81988781,01-01 16:46:28:781,-15,-2,-10,7,4,8,1,0
81988818,01-01 16:46:28:818,1,34,38,5,-16,-5,-3,-2
81988878,01-01 16:46:28:878,-3,0,-69,-7,7,9,0,-3
81988938,01-01 16:46:28:938,1,-3,-8,-6,13,0,-8,-4
81988984,01-01 16:46:28:984,-9,4,-20,0,11,3,1,-2
81989021,01-01 16:46:29:21,4,-5,24,-7,-3,-3,0,-2
81989081,01-01 16:46:29:81,-3,-39,46,1,-2,-1,1,1
81989141,01-01 16:46:29:141,-1,24,-71,-17,1,1,-1,1
81989178,01-01 16:46:29:178,-3,14,2,-4,-3,1,1,1
81989238,01-01 16:46:29:238,-5,-46,23,-1,29,3,2,1
81989284,01-01 16:46:29:284,2,8,5,3,-1,-3,1,0
81989342,01-01 16:46:29:342,1,13,-26,11,8,2,-1,-1
81989381,01-01 16:46:29:381,-6,-17,-55,-13,-2,-4,0,-2
81989440,01-01 16:46:29:440,1,-5,5,-11,10,0,-1,-2
81989500,01-01 16:46:29:500,-2,-21,-4,-4,0,3,-1,-1
81989545,01-01 16:46:29:545,-1,6,-23,-3,8,1,2,1
81989597,01-01 16:46:29:597,-1,-2,4,-13,-8,-3,-3,0
81989644,01-01 16:46:29:644,8,33,-6,3,-5,-8,0,0
81989704,01-01 16:46:29:704,-2,-3,13,-4,1,5,1,-1
81989748,01-01 16:46:29:748,-1,2,3,-1,0,2,-1,1
81989799,01-01 16:46:29:799,-1,-1,1,5,5,-1,-1,-1
81989846,01-01 16:46:29:846,1,-13,-5,-10,-1,0,2,1
81989907,01-01 16:46:29:907,-3,-2,-10,9,7,-2,-1,0
81989945,01-01 16:46:29:945,-2,-3,-61,-11,3,2,3,0
81990006,01-01 16:46:30:6,1,9,56,-6,4,3,1,0
81990063,01-01 16:46:30:63,-5,3,23,4,-1,0,1,0
81990108,01-01 16:46:30:108,-2,-4,-12,-6,-3,-2,-2,-3
