timestamp,formatted_time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,roll_w,pitch_w,yaw_w,rssi,pose 
81982024,01-01 16:46:22:24,-0.0361328,-0.395508,1.1499,-0.125,23.5625,12.375,7,9,14,-53,unknown
81982084,01-01 16:46:22:84,-0.0112305,-0.35791,1.12695,-1.125,67.0625,35.6875,7,9,14,-53,unknown
81982121,01-01 16:46:22:121,-0.0585938,-0.353516,1.09375,-17.625,99.0625,52.0625,7,9,14,-53,unknown
81982181,01-01 16:46:22:181,-0.182129,-0.39502,1.01221,-10.5,138.125,83,7,10,15,-53,unknown
81982225,01-01 16:46:22:225,-0.329102,-0.400879,0.927734,-6.6875,154.375,100.812,7,11,15,-53,unknown
81982287,01-01 16:46:22:287,-0.57666,-0.35791,0.842773,-0.6875,160.875,109.312,8,12,15,-53,unknown
81982346,01-01 16:46:22:346,-0.662598,-0.219238,0.6875,6.5625,154.625,110.938,8,13,15,-53,unknown
81982384,01-01 16:46:22:384,-0.694336,-0.186035,0.603027,12.375,149.375,110.375,8,14,15,-53,unknown
81982444,01-01 16:46:22:444,-0.80127,-0.0458984,0.489746,27.3125,147.438,111.438,8,15,16,-53,unknown
81982488,01-01 16:46:22:488,-0.875977,0.0239258,0.379395,22.875,126.688,102.75,9,15,16,-53,unknown
81982548,01-01 16:46:22:548,-0.927246,0.105469,0.258301,11.3125,99.5,82.6875,10,16,17,-53,unknown
81982586,01-01 16:46:22:586,-0.919434,0.13916,0.16748,-23.25,71.9375,77.25,10,16,0,-53,unknown
81982647,01-01 16:46:22:647,-0.93457,0.290527,0.0307617,-12.125,40.9375,36.9375,11,16,1,-53,unknown
81982691,01-01 16:46:22:691,-0.919922,0.274902,0.0317383,-13.8125,6.75,-5.1875,11,16,1,-53,unknown
81982744,01-01 16:46:22:744,-0.916504,0.199219,0.0649414,-8.8125,-36.5,-36.1875,11,16,1,-53,unknown
81982804,01-01 16:46:22:804,-0.918945,0.11084,0.129883,-9.0625,-67.75,-57.5,10,16,0,-53,unknown
81982847,01-01 16:46:22:847,-0.894531,0.0913086,0.247559,-25.6875,-101.188,-76.8125,10,16,17,-53,unknown
81982908,01-01 16:46:22:908,-0.859375,-0.00927734,0.381348,-43.875,-152.188,-124.75,8,15,16,-53,unknown
81982946,01-01 16:46:22:946,-0.869141,-0.0170898,0.496094,-51.3125,-190,-149.688,8,14,16,-53,unknown
81983008,01-01 16:46:23:8,-0.773438,-0.258789,0.766602,-41.0625,-180.188,-168.938,7,13,15,-53,unknown
81983043,01-01 16:46:23:43,-0.73584,-0.27832,0.945801,-19.3125,-171.312,-172.062,7,12,15,-53,unknown
81983103,01-01 16:46:23:103,-0.237793,-0.479492,0.925293,24.5625,-159,-136,7,11,15,-53,unknown
81983155,01-01 16:46:23:155,0.0180664,-0.487793,0.984375,44.3125,-115.25,-80.8125,7,10,14,-53,unknown
81983215,01-01 16:46:23:215,0.00537109,-0.443359,1.02588,8.75,-73.5625,-48.25,7,9,14,-53,unknown
81983255,01-01 16:46:23:255,-0.0185547,-0.487305,1.11865,14.9375,-43.6875,-28.3125,7,9,14,-53,unknown
81983312,01-01 16:46:23:312,-0.112793,-0.462402,1.16748,0.8125,-17.125,-14.1875,7,9,14,-53,unknown
81983357,01-01 16:46:23:357,-0.0214844,-0.396973,1.11572,1.625,-6.4375,-7.4375,7,9,14,-53,unknown
