timestamp,formatted_time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1302312,12-31 18:21:42:312,1,1,0,0,3,0,-2,1
1302372,12-31 18:21:42:372,2,-2,0,-2,1,1,0,0
1302409,12-31 18:21:42:409,0,-1,-1,-2,-1,-2,-1,0
1302470,12-31 18:21:42:470,-2,0,0,-3,-1,1,-2,-1
1302515,12-31 18:21:42:515,-4,-1,-1,-1,-1,-2,1,1
1302573,12-31 18:21:42:573,2,0,1,-1,0,-1,-1,0
1302625,12-31 18:21:42:625,-5,0,0,0,-1,-2,-1,-1
1302673,12-31 18:21:42:673,0,-1,-1,-1,3,2,-1,0
1302731,12-31 18:21:42:731,-3,1,0,-1,-2,-1,0,-1
1302775,12-31 18:21:42:775,0,-2,-1,-1,1,-1,1,-1
1302828,12-31 18:21:42:828,0,0,-1,0,0,1,-1,2
1302876,12-31 18:21:42:876,-3,0,-4,-1,1,0,-1,-2
1302936,12-31 18:21:42:936,-2,-2,-4,-2,4,0,6,-1
1302973,12-31 18:21:42:973,-1,-1,-1,1,-3,1,-4,1
1303033,12-31 18:21:43:33,-4,-2,0,0,0,-1,1,-1
1303077,12-31 18:21:43:77,6,3,0,-3,-4,-2,-9,14
1303136,12-31 18:21:43:136,-5,-1,1,0,-1,-12,-2,-4
1303188,12-31 18:21:43:188,-8,0,1,-1,-1,0,-1,16
1303236,12-31 18:21:43:236,-2,-3,1,0,0,2,-2,-2
1303273,12-31 18:21:43:273,-21,-1,-3,0,-3,0,0,-2
1303333,12-31 18:21:43:333,3,0,-1,-2,0,0,-4,0
1303393,12-31 18:21:43:393,3,0,-1,-1,2,0,0,-1
1303436,12-31 18:21:43:436,1,-2,0,-1,1,-1,1,1
1303497,12-31 18:21:43:497,1,0,1,-1,-1,1,-1,1
1303548,12-31 18:21:43:548,-3,0,0,-1,0,0,0,-2
1303601,12-31 18:21:43:601,-1,-2,1,-1,-1,0,0,-4
1303637,12-31 18:21:43:637,-4,-1,-1,-1,0,0,-2,-1
1303699,12-31 18:21:43:699,-4,-1,1,1,0,-2,-5,-3
1303751,12-31 18:21:43:751,-8,-2,-1,-1,1,1,1,0
1303798,12-31 18:21:43:798,-2,-2,-1,-1,-2,0,0,0
1303857,12-31 18:21:43:857,0,0,-1,0,-1,-2,0,0
1303896,12-31 18:21:43:896,0,-1,1,0,0,-1,-3,-1
1303956,12-31 18:21:43:956,-4,-1,0,1,1,-2,5,-8
1303999,12-31 18:21:43:999,10,3,1,1,1,0,0,4
1304059,12-31 18:21:44:59,0,-1,0,1,-1,0,-2,-1
1304110,12-31 18:21:44:110,4,0,0,-2,-1,-2,0,-2
1304158,12-31 18:21:44:158,-6,1,0,0,-1,0,0,-1
1304218,12-31 18:21:44:218,0,0,-1,-2,1,0,1,1
1304255,12-31 18:21:44:255,-2,-3,-3,-2,-1,0,-2,-2
1304315,12-31 18:21:44:315,-1,-1,0,1,-4,-2,-1,-1
1304359,12-31 18:21:44:359,-4,-7,-5,-3,1,-3,-2,-1
1304419,12-31 18:21:44:419,-2,2,2,0,0,1,-1,2
1304470,12-31 18:21:44:470,-4,0,-1,-1,1,0,18,3
1304518,12-31 18:21:44:518,-8,-4,0,0,-2,1,-1,5
1304560,12-31 18:21:44:560,0,-2,-1,-2,-3,-5,-16,-24
1304620,12-31 18:21:44:620,1,-1,-1,0,0,1,3,3
1304673,12-31 18:21:44:673,-3,-1,-1,0,-2,-2,-2,-2
1304719,12-31 18:21:44:719,-2,0,0,-1,2,0,1,1
1304780,12-31 18:21:44:780,-2,0,-2,1,-1,-1,-1,-1
1304818,12-31 18:21:44:818,12,5,0,-2,0,-3,1,0
1304878,12-31 18:21:44:878,0,0,1,-2,-1,0,-2,-1
1304921,12-31 18:21:44:921,-5,-2,0,-1,-2,-1,0,-2
1304973,12-31 18:21:44:973,1,-2,-2,-1,1,-1,-1,-8
1305033,12-31 18:21:45:33,-2,0,0,0,-1,-2,-1,2
1305080,12-31 18:21:45:80,1,0,-2,0,0,-3,-4,-1
1305139,12-31 18:21:45:139,1,0,-1,1,1,3,-3,0
1305178,12-31 18:21:45:178,0,-1,-1,0,1,0,12,2
1305238,12-31 18:21:45:238,0,-2,-1,1,-2,-3,0,0
1305289,12-31 18:21:45:289,-1,1,-1,0,0,-2,-4,-4
1305333,12-31 18:21:45:333,0,-2,0,-1,-1,-2,-1,-3
1305393,12-31 18:21:45:393,3,1,0,0,-1,0,1,2
1305440,12-31 18:21:45:440,0,0,0,-2,-3,-3,-1,5
1305476,12-31 18:21:45:476,-2,0,-1,-1,0,-1,-5,-2
1305537,12-31 18:21:45:537,3,0,-2,0,1,-1,-1,8
